id,name,slug,uic,uic8_sncf,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport,cp_id
361,Pero Negro,pero-negro,9462315,,38.98883873,-9.197387112,14.0,PT,Europe/Lisbon,False,False,False,94_62315
362,Zibreira,zibreira,9462331,,39.00602387,-9.183469374,14.0,PT,Europe/Lisbon,False,False,False,94_62331
363,Feliteira,feliteira,9462364,,39.02241835,-9.179351752,14.0,PT,Europe/Lisbon,False,False,False,94_62364
364,Dois Portos,dois-portos,9462380,,39.04257009,-9.184656316,14.0,PT,Europe/Lisbon,False,False,False,94_62380
365,Runa,runa,9462422,,39.07297322,-9.20983775,14.0,PT,Europe/Lisbon,False,False,False,94_62422
366,Torres Vedras,torres-vedras,9462471,,39.09272951,-9.25439432,14.0,PT,Europe/Lisbon,False,False,False,94_62471
367,Ramalhal,ramalhal,9462547,,39.139534,-9.215997803,14.0,PT,Europe/Lisbon,False,False,False,94_62547
368,Outeiro,outeiro,9462612,,39.19127342,-9.17717407,13.0,PT,Europe/Lisbon,False,False,False,94_62612
369,Bombarral,bombarral,9462703,,39.26511081,-9.153353411,13.0,PT,Europe/Lisbon,False,False,False,94_62703
370,Obidos,obidos,9462836,,39.36489503,-9.159071054,13.0,PT,Europe/Lisbon,False,False,False,94_62836
371,Caldas da Rainha,caldas-da-rainha,9463008,,39.40647283,-9.140159558,13.0,PT,Europe/Lisbon,False,False,False,94_63008
372,Salir do Porto,salir-do-porto,9463107,,39.49238552,-9.147220508,13.0,PT,Europe/Lisbon,False,False,False,94_63107
373,Sao Martinho do Porto,sao-martinho-do-porto,9463131,,39.50816682,-9.133196417,13.0,PT,Europe/Lisbon,False,False,False,94_63131
374,Famalicao da Nazare,famalicao-da-nazare,9463180,,39.5316061,-9.085716739,13.0,PT,Europe/Lisbon,False,False,False,94_63180
375,Valado - Nazare - Alcobaca,valado-nazare-alcobaca,9463263,,39.58451071,-9.017672852,13.0,PT,Europe/Lisbon,False,False,False,94_63263
376,Pataias,pataias,9463354,,39.65551486,-8.984892522,13.0,PT,Europe/Lisbon,False,False,False,94_63354
377,Martinganca - Maceira,martinganca-maceira,9463404,,39.68724928,-8.945813689,13.0,PT,Europe/Lisbon,False,False,False,94_63404
378,Marinha Grande,marinha-grande,9463461,,39.73680363,-8.92619275,13.0,PT,Europe/Lisbon,False,False,False,94_63461
379,Leiria,leiria,9463560,,39.75662229,-8.827850678,13.0,PT,Europe/Lisbon,False,False,False,94_63560
380,Monte Real,monte-real,9463685,,39.85599444,-8.847683942,13.0,PT,Europe/Lisbon,False,False,False,94_63685
381,Monte Redondo,monte-redondo,9463735,,39.90033157,-8.834367878,13.0,PT,Europe/Lisbon,False,False,False,94_63735
382,Guia,guia,9463800,,39.94816285,-8.801752655,13.0,PT,Europe/Lisbon,False,False,False,94_63800
383,Lourical,lourical,9463875,,40.01625418,-8.815408661,7.0,PT,Europe/Lisbon,False,False,False,94_63875
384,Bifurcacao de Lares,bifurcacao-de-lares,9464022,,40.12237677,-8.764726521,7.0,PT,Europe/Lisbon,False,False,False,94_64022
385,Lares,lares,9464055,,40.12947088,-8.78744267,7.0,PT,Europe/Lisbon,False,False,False,94_64055
386,Fontela,fontela,9464089,,40.14188393,-8.813779497,7.0,PT,Europe/Lisbon,False,False,False,94_64089
387,Fontela-A,fontela-a,9464097,,40.14636899,-8.82484836,7.0,PT,Europe/Lisbon,False,False,False,94_64097
388,Figueira da Foz,figueira-da-foz,9464113,,40.14854945,-8.848372997,7.0,PT,Europe/Lisbon,False,False,False,94_64113
389,Montemor,montemor,9465029,,40.16015198,-8.654060633,7.0,PT,Europe/Lisbon,False,False,False,94_65029
390,Marujal,marujal,9465052,,40.14035595,-8.676272148,7.0,PT,Europe/Lisbon,False,False,False,94_65052
391,Verride,verride,9465086,,40.13958737,-8.703114071,7.0,PT,Europe/Lisbon,False,False,False,94_65086
392,Reveles,reveles,9465128,,40.1307696,-8.74540784,7.0,PT,Europe/Lisbon,False,False,False,94_65128
393,Marvila,marvila,9466019,,38.73924235,-9.108394719,14.0,PT,Europe/Lisbon,False,False,False,94_66019
394,Roma - Areeiro,roma-areeiro,9466035,,38.74572442,-9.134830778,14.0,PT,Europe/Lisbon,False,False,False,94_66035
395,Entrecampos,entrecampos,9466050,,38.74468,-9.148575,14.0,PT,Europe/Lisbon,False,False,False,94_66050
396,Sete Rios,sete-rios,9466076,,38.74005101,-9.166950111,14.0,PT,Europe/Lisbon,False,False,False,94_66076
397,Alcantara - Terra,alcantara-terra,9467025,,38.70743461,-9.17323799,18.0,PT,Europe/Lisbon,False,False,False,94_67025
398,Pinhal Novo,pinhal-novo,9468007,,38.63018,-8.912074,18.0,PT,Europe/Lisbon,False,False,False,94_68007
399,Venda do Alcaide,venda-do-alcaide,9468049,,38.60572832,-8.888240288,18.0,PT,Europe/Lisbon,False,False,False,94_68049
400,Palmela,palmela,9468080,,38.5718791,-8.872821568,18.0,PT,Europe/Lisbon,False,False,False,94_68080
401,Setubal,setubal,9468122,,38.53054468,-8.884972033,18.0,PT,Europe/Lisbon,False,False,False,94_68122
402,Praca do Quebedo,praca-do-quebedo,9468130,,38.52493444,-8.88647322,18.0,PT,Europe/Lisbon,False,False,False,94_68130
403,Cais do Sodre,cais-do-sodre,9469005,,38.70614229,-9.145373786,14.0,PT,Europe/Lisbon,False,False,False,94_69005
404,Santos,santos,9469013,,38.70615507,-9.155312247,18.0,PT,Europe/Lisbon,False,False,False,94_69013
405,Alcantara -  Mar,alcantara-mar,9469039,,38.70235141,-9.17402131,18.0,PT,Europe/Lisbon,False,False,False,94_69039
406,Belem,belem,9469054,,38.69616782,-9.197622584,18.0,PT,Europe/Lisbon,False,False,False,94_69054
407,Alges,alges,9469088,,38.69832982,-9.229453001,14.0,PT,Europe/Lisbon,False,False,False,94_69088
408,Cruz Quebrada,cruz-quebrada,9469104,,38.69979769,-9.252196627,14.0,PT,Europe/Lisbon,False,False,False,94_69104
409,Caxias,caxias,9469120,,38.69874435,-9.274388514,14.0,PT,Europe/Lisbon,False,False,False,94_69120
410,Paco de Arcos,paco-de-arcos,9469146,,38.69710796,-9.290535587,14.0,PT,Europe/Lisbon,False,False,False,94_69146
411,Santo Amaro,santo-amaro,9469161,,38.68690558,-9.312025239,14.0,PT,Europe/Lisbon,False,False,False,94_69161
412,Oeiras,oeiras,9469179,,38.6885188,-9.319046859,14.0,PT,Europe/Lisbon,False,False,False,94_69179
413,Carcavelos,carcavelos,9469187,,38.68782177,-9.337419198,14.0,PT,Europe/Lisbon,False,False,False,94_69187
414,Parede,parede,9469203,,38.68973478,-9.356388966,14.0,PT,Europe/Lisbon,False,False,False,94_69203
415,Sao Pedro do Estoril,sao-pedro-do-estoril,9469229,,38.69541017,-9.371882889,14.0,PT,Europe/Lisbon,False,False,False,94_69229
416,Sao Joao do Estoril,sao-joao-do-estoril,9469237,,38.70129509,-9.386122441,14.0,PT,Europe/Lisbon,False,False,False,94_69237
417,Estoril,estoril,9469245,,38.70323838,-9.398724194,14.0,PT,Europe/Lisbon,False,False,False,94_69245
418,Monte Estoril,monte-estoril,9469252,,38.70357154,-9.406511881,14.0,PT,Europe/Lisbon,False,False,False,94_69252
419,Cascais,cascais,9469260,,38.70079545,-9.41819051,14.0,PT,Europe/Lisbon,False,False,False,94_69260
420,Poceirao,poceirao,9471001,,38.63441598,-8.743374988,18.0,PT,Europe/Lisbon,False,False,False,94_71001
421,Fernando Po,fernando-po,9471050,,38.63640784,-8.691858796,17.0,PT,Europe/Lisbon,False,False,False,94_71050
422,Pegoes,pegoes,9471126,,38.66228912,-8.619061162,8.0,PT,Europe/Lisbon,False,False,False,94_71126
423,Sao Joao das Craveiras,sao-joao-das-craveiras,9471159,,38.6680242,-8.585700728,8.0,PT,Europe/Lisbon,False,False,False,94_71159
424,Vendas Novas,vendas-novas,9472009,,38.67941774,-8.454401235,8.0,PT,Europe/Lisbon,False,False,False,94_72009
425,Faro,faro,9473007,,37.02021,-7.9412003,10.0,PT,Europe/Lisbon,False,False,False,94_73007
426,Bom Joao,bom-joao,9473031,,37.01399382,-7.921032734,10.0,PT,Europe/Lisbon,False,False,False,94_73031
427,Olhao,olhao,9473106,,37.03033757,-7.839797506,10.0,PT,Europe/Lisbon,False,False,False,94_73106
428,Fuseta-A,fuseta-a,9473197,,37.0535355,-7.749739338,10.0,PT,Europe/Lisbon,False,False,False,94_73197
